,model,split,auc,pr,accuracy,precision,recall,specificity,f1-score,target,window
61,mid,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,0h
62,ft_mid,train,0.9722222222222222,0.9166666666666665,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,aleak,0h
63,ft_mid,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,0h
64,lab,train,0.9166666666666666,0.8333333333333333,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,24h
65,lab,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,24h
66,vitals,train,0.75,0.5694444444444444,0.6,0.2857142857142857,0.6666666666666666,0.5833333333333334,0.4,aleak,24h
67,vitals,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,24h
68,img,train,0.3888888888888889,0.2012820512820513,0.8,0.0,0.0,1.0,0.0,aleak,24h
69,img,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,24h
70,static,train,0.625,0.25,0.8,0.0,0.0,1.0,0.0,aleak,24h
71,static,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
72,late,train,0.8055555555555556,0.6095238095238096,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,aleak,24h
73,late,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,24h
74,ft_late,train,0.8055555555555556,0.6095238095238096,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,aleak,24h
75,ft_late,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,24h
76,mid,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,24h
77,mid,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,24h
78,ft_mid,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,24h
79,ft_mid,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,24h
80,lab,train,0.8333333333333334,0.6428571428571428,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,aleak,24h
81,lab,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,aleak,24h
82,vitals,train,0.9166666666666667,0.7555555555555555,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,24h
83,vitals,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,aleak,24h
84,img,train,0.625,0.2777777777777778,0.6666666666666666,0.25,0.3333333333333333,0.75,0.28571428571428575,aleak,24h
85,img,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
86,static,train,0.6666666666666666,0.5285714285714286,0.4666666666666667,0.2222222222222222,0.6666666666666666,0.4166666666666667,0.3333333333333333,aleak,24h
87,static,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,aleak,24h
88,late,train,0.8888888888888888,0.7222222222222222,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,24h
89,late,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,aleak,24h
90,ft_late,train,0.9166666666666666,0.8333333333333333,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,24h
91,ft_late,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,aleak,24h
92,mid,train,0.888888888888889,0.5333333333333333,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,24h
93,mid,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,24h
94,ft_mid,train,0.9444444444444444,0.8666666666666667,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,24h
95,ft_mid,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,24h
96,lab,train,0.7222222222222222,0.4797979797979798,0.8,0.5,0.3333333333333333,0.9166666666666666,0.4,aleak,24h
97,lab,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,24h
